"[all run data]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]"
,"1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0"
,"901","219","0","925","195","0","736","384","0","1029","91","0","911","209","0","730","367","23","828","158","134","704","416","0","659","327","134","1078","42","0"
,"911","208","1","942","178","0","750","369","1","1036","84","0","932","188","0","760","360","0","726","196","198","719","401","0","674","365","81","1083","37","0"
,"924","196","0","960","159","1","775","345","0","1004","82","34","946","174","0","783","337","0","668","233","219","735","385","0","709","382","29","1092","28","0"
,"941","179","0","981","139","0","788","332","0","855","114","151","962","157","1","798","321","1","681","263","176","761","357","2","734","386","0","1095","25","0"
,"958","162","0","991","129","0","800","320","0","676","166","278","977","143","0","817","301","2","672","302","146","777","343","0","751","369","0","1028","41","51"
,"979","141","0","1003","117","0","811","309","0","662","211","247","989","131","0","832","280","8","689","332","99","791","327","2","774","346","0","804","87","229"
,"991","129","0","1021","99","0","821","299","0","656","263","201","968","127","25","854","266","0","705","364","51","804","315","1","777","338","5","624","146","350"
,"1009","111","0","1046","73","1","840","280","0","663","313","144","861","147","112","876","244","0","735","383","2","823","297","0","802","318","0","626","200","294"
,"1027","93","0","1063","57","0","859","261","0","666","361","93","718","177","225","892","227","1","761","359","0","844","276","0","826","294","0","626","255","239"
,"1045","75","0","1077","43","0","880","240","0","691","403","26","654","217","249","906","213","1","774","346","0","865","255","0","836","284","0","633","302","185"
,"1056","63","1","1089","31","0","896","223","1","719","401","0","659","256","205","934","186","0","792","328","0","887","232","1","853","265","2","631","351","138"
,"1077","43","0","1090","30","0","915","204","1","737","383","0","656","293","171","948","171","1","805","314","1","895","215","10","866","254","0","647","396","77"
,"1083","37","0","1102","18","0","935","184","1","750","370","0","655","334","131","953","167","0","816","304","0","872","218","30","885","235","0","673","423","24"
